movie,actor1,actor2,actor3
1408,John Cusack,Samuel L. Jackson
2012,John Cusack,Thandiwe Newton,Chiwetel Ejiofor
A Christmas Carol,Jim Carrey,Gary Oldman,Colin Firth
Anora,Grace Hartley,Finn Cole
Apostle,Dan Stevens,Lucy Boynton,Michael Shee
Avatar,Sam Worthington,Zoe Saldana,Sigourney Weaver
Avatar: The Way of Water,Sam Worthington,Zoe Saldana,Sigourney Weaver
Avicii - I'm Tim,Avicii,Aloe Blacc,Chris Martin
Baby Driver,Ansel Elgort,Lily James,Kevin Spacey
Babygirl,Nicole Kidman,Harris Dickinson,Antonio Banderas
Barbie,Margot Robbie,Ryan Gosling,Issa Rae
Beetlejuice,Alec Baldwin,Geena Davis,Michael Keaton
Better Man,Robbie Williams,Jonno Davies,Steve Pemberton
Blade Runner,Harrison Ford,Rutger Hauer,Sean Young
Bohemian Rhapsody,Rami Malek,Lucy Boynton,Gwilym Lee
Carry-On,Taron Egerton,Jason Bateman,Sofia Carson
Do not Breathe,Stephen Lang,Jane Levy,Dylan Minnette
Don't Worry Darling,Florence Pugh,Harry Styles,Chris Pine
Dune: Part One,Timothée Chalamet,Rebecca Ferguson,Zendaya
Dune: Part Two,Timothée Chalamet,Rebecca Ferguson,Zendaya
Dunkirk,Fionn Whitehead,Barry Keoghan,Mark Rylance
Elf,Will Ferrel,James Caan,Bob Newhart
Forrest Gump,Tom Hanks,Robin Wright,Gary Sinise
Friends: The Reunion,Jennifer Aniston,Courteney Cox,Lisa Kudrow
Gladiator,Russell Crowe,Joaquin Phoenix,Connie Nielsen
Gladiator II,Paul Mescal,Denzel Washington,Pedro Pascal
Green Book,Viggo Mortensen,Mahershala Ali,Linda Cardellini
Hereditary,Toni Collette,Alex Wolff,Milly Shapiro
Home Alone,Macaulay Culkin,Joe Pesci,Daniel Stern
Home Alone 2: Lost in New York,Macaulay Culkin,Joe Pesci,Daniel Stern
Inception,Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page
Insidious,Patrick Wilson,Rose Byrne,Ty Simpkins
Interstellar,Matthew McConaughey,Anne Hathaway,Jessica Chastain
Intouchables,François Cluzet,Omar Sy,Anne Le Ny
It Follows,Maika Monroe,Keir Gilchrist,Olivia Luccardi
Jaws,Roy Scheider,Robert Shaw,Richard Dreyfuss
John Wick,Keanu Reeves,Michael Nyqvist,Alfie Allen
Joker,Joaquin Phoenix,Robert De Niro,Zazie Beetz
Klaus,Jason Schwartzman,J.K. Simmons,Rashida Jones
Kraven: The Hunter,Aaron Taylor-Johnson,Ariana DeBose,Fred Hechinger
La Vita è Bella,Roberto Benigni,Nicoletta Braschi
Logan,Hugh Jackman,Patrick Stewart,Dafne Keen
The Matrix,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss
Meet the Fockers,Ben Stiller,Robert De Niro,Dustin Hoffman
Midsommar,Florence Pugh,Jack Reynor,Vilhelm Blomgren
Modern Times,Charlie Chaplin,Paulette Goddard
Nosferatu,Lily-Rose Depp,Nicholas Hoult,Bill Skarsgård
Ocean's Eleven,George Clooney,Brad Pitt,Julia Roberts
Ocean's Thirteen,George Clooney,Brad Pitt,Matt Damon
Ocean's Twelve,George Clooney,Brad Pitt,Julia Roberts
Oppenheimer,Cillian Murphy,Emily Blunt,Matt Damon
Orphan,Vera Farmiga,Peter Sarsgaard,Isabelle Fuhrman
Pentagram,James Landry Hebert,Sloane Morgan Siegel,Jessica Cameron
Psycho,Anthony Perkins,Janet Leigh
Ratatouille,Brad Garrett,Lou Romano,Patton Oswalt
Red One,Dwayne Johnson,Chris Evans,Lucy Liu
Room,Brie Larson,Jacob Tremblay
Rush,Daniel Brühl,Chris Hemsworth,Olivia Wilde
Saw,Cary Elwes,Leigh Whannell,Danny Glover
Seven,Brad Pitt,Morgan Freeman
Sinister,Ethan Hawke,Juliet Rylance,Fred Thompson
Source Code,Jake Gyllenhaal,Michelle Monaghan,Vera Farmiga
The Substance,Demi Moore,Margaret Qualley,Dennis Quaid
Superman,Christopher Reeve,Margot Kidder,Gene Hackman
Tenet,John David Washington,Robert Pattinson,Elizabeth Debicki
The Lion King,Donald Glover,Beyonce,Seth Rogen
The Shining,Jack Nicholson,Shelley Duvall,Danny Lloyd
The Autopsy of Jane Doe,Emile Hirsch,Brian Cox,Ophelia Lovibond
The Babadook,Essie Davis,Noah Wiseman,Daniel Henshall
The Conjuring,Vera Farmiga,Patrick Wilson,Lili Taylor
The Dark Knight,Christian Bale,Heath Ledger,Aaron Eckhart
The Exorcism of Emily Rose,Laura Linney,Tom Wilkinson,Campbell Scott
The Godfather,Marlon Brando,Al Pacino,James Caan
The Lazarus Effect,Olivia Wilde,Mark Duplass,Evan Peters
The Maze Runner,Dylan O'Brien,Kaya Scodelario,Will Poulter
The Post,Meryl Streep,Tom Hanks,Sarah Paulson
The Ritual,Rafe Spall,Arsher Ali,Robert James-Collier
The Terminator,Arnold Schwarzenegger,Linda Hamilton
The Visit,Olivia DeJonge,Ed Oxenbould,Deanna Dunagan
The Wolf of Wall Street,Leonardo DiCaprio,Jonah Hill,Margot Robbie
Titanic,Leonardo DiCaprio,Kate Winslet,Billy Zane
Top Gun,Tom Cruise,Tim Robbins,Kelly McGillis
Twisters,Daisy Edgar-Jones,Glen Powell,Anthony Ramos
Unfriended,Shelley Hennig,Will Peltz,Moses Storm
Venom,Tom Hardy,Michelle Williams,Riz Ahmed
Venom: Let There Be Carnage,Tom Hardy,Woody Harrelson,Michelle Williams
Venom: The Last Dance,Tom Hardy,Chiwetel Ejiofor,Juno Temple
When Evil Lurks,Nicolas Furtado,Manuel Vignau,Jorge Prado
Wonka,Timothée Chalamet,Gustave Die,Murray McArthur